PlotNo,Dimensions,Area_SqYds,Facing,Status,Owner
111,33.0' x 60.0',220,East,AVAILABLE,Unassigned
112,33.0' x 60.0',220,East,AVAILABLE,Unassigned
113,33.0' x 60.0',220,East,AVAILABLE,Unassigned
114,33.0' x 60.0',220,East,AVAILABLE,Unassigned
115,33.0' x 60.0',220,East,AVAILABLE,Unassigned
116,33.0' x 60.0',220,East,AVAILABLE,Unassigned
117,33.0' x 60.0',220,East,AVAILABLE,Unassigned
118,45.0' x 75.0',375,East,AVAILABLE,Unassigned
119,45.0' x 75.0',375,East,AVAILABLE,Unassigned
120,42.0' x 70.0',326,East,AVAILABLE,Unassigned
121,42.0' x 70.0',326,East,AVAILABLE,Unassigned
